
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Aug 17 08:18:21 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        45.1900
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:      50577953433264708
    Points in real space:                   221

    Input  1:                      F:/HR-LYS/dat/alys_1.8.dat
    First data point used:                    1
    Last data point used:                   222
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.762   1.466   0.015   0.462   1.000   0.948   0.113
               --------------------------------------------------------
    Estimate      0.958   0.689   0.985   0.000   1.000   1.000   0.965

    Angular range:                       0.0080 to       1.7200
    Reciprocal space Rg:             0.1421E+02
    Reciprocal space I(0):           0.8560E+02

    Real space range:                    0.0000 to      45.1900
    Real space Rg:                   0.1420E+02 +-   0.4941E-01
    Real space I(0):                 0.8560E+02 +-   0.2125E+00

    Highest ALPHA (theor):           0.1697E+04
    Current ALPHA:                   0.4712E+02

    Total Estimate:                      0.6883 (a REASONABLE solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.145000E+00   0.195989E+02   0.192010E+00   0.194954E+02   0.194954E+02
   0.150000E+00   0.176089E+02   0.220970E+00   0.174934E+02   0.174934E+02
   0.155000E+00   0.157071E+02   0.229810E+00   0.156323E+02   0.156323E+02
   0.160000E+00   0.139154E+02   0.183760E+00   0.139119E+02   0.139119E+02
   0.165000E+00   0.123824E+02   0.181620E+00   0.123310E+02   0.123310E+02
   0.170000E+00   0.109336E+02   0.163730E+00   0.108867E+02   0.108867E+02
   0.175000E+00   0.959297E+01   0.153300E+00   0.957538E+01   0.957538E+01
   0.180000E+00   0.832739E+01   0.182920E+00   0.839221E+01   0.839221E+01
   0.185000E+00   0.728846E+01   0.133070E+00   0.733160E+01   0.733160E+01
   0.190000E+00   0.629421E+01   0.137550E+00   0.638727E+01   0.638727E+01
   0.195000E+00   0.547668E+01   0.148270E+00   0.555245E+01   0.555245E+01
   0.200000E+00   0.478177E+01   0.125550E+00   0.481994E+01   0.481994E+01
   0.205000E+00   0.412910E+01   0.144300E+00   0.418231E+01   0.418231E+01
   0.210000E+00   0.365408E+01   0.142030E+00   0.363199E+01   0.363199E+01
   0.215000E+00   0.313790E+01   0.108750E+00   0.316141E+01   0.316141E+01
   0.220000E+00   0.272333E+01   0.107180E+00   0.276307E+01   0.276307E+01
   0.225000E+00   0.240861E+01   0.124190E+00   0.242966E+01   0.242966E+01
   0.230000E+00   0.210976E+01   0.102180E+00   0.215411E+01   0.215411E+01
   0.235000E+00   0.183819E+01   0.150720E+00   0.192967E+01   0.192967E+01
   0.240000E+00   0.164126E+01   0.100300E+00   0.174998E+01   0.174998E+01
   0.245000E+00   0.160099E+01   0.949200E-01   0.160905E+01   0.160905E+01
   0.250000E+00   0.148515E+01   0.800900E-01   0.150136E+01   0.150136E+01
   0.255000E+00   0.142307E+01   0.879400E-01   0.142182E+01   0.142182E+01
   0.260000E+00   0.131764E+01   0.103630E+00   0.136580E+01   0.136580E+01
   0.265000E+00   0.126100E+01   0.100170E+00   0.132912E+01   0.132912E+01
   0.270000E+00   0.126316E+01   0.124520E+00   0.130809E+01   0.130809E+01
   0.275000E+00   0.123368E+01   0.115190E+00   0.129936E+01   0.129936E+01
   0.280000E+00   0.122780E+01   0.155980E+00   0.130007E+01   0.130007E+01
   0.285000E+00   0.126787E+01   0.151910E+00   0.130771E+01   0.130771E+01
   0.290000E+00   0.134423E+01   0.829600E-01   0.132013E+01   0.132013E+01
   0.295000E+00   0.137317E+01   0.122940E+00   0.133550E+01   0.133550E+01
   0.300000E+00   0.136288E+01   0.771600E-01   0.135230E+01   0.135230E+01
   0.305000E+00   0.136917E+01   0.736800E-01   0.136927E+01   0.136927E+01
   0.310000E+00   0.137917E+01   0.966400E-01   0.138539E+01   0.138539E+01
   0.315000E+00   0.140373E+01   0.106280E+00   0.139983E+01   0.139983E+01
   0.320000E+00   0.139847E+01   0.120640E+00   0.141198E+01   0.141198E+01
   0.325000E+00   0.140942E+01   0.213300E+00   0.142135E+01   0.142135E+01
   0.330000E+00   0.144590E+01   0.133220E+00   0.142762E+01   0.142762E+01
   0.335000E+00   0.146612E+01   0.390570E+00   0.143055E+01   0.143055E+01
   0.340000E+00   0.142708E+01   0.903200E-01   0.143003E+01   0.143003E+01
   0.345000E+00   0.142963E+01   0.139080E+00   0.142602E+01   0.142602E+01
   0.350000E+00   0.141662E+01   0.103470E+00   0.141856E+01   0.141856E+01
   0.355000E+00   0.139969E+01   0.852700E-01   0.140772E+01   0.140772E+01
   0.360000E+00   0.138755E+01   0.101770E+00   0.139366E+01   0.139366E+01
   0.365000E+00   0.138188E+01   0.824700E-01   0.137655E+01   0.137655E+01
   0.370000E+00   0.138204E+01   0.821100E-01   0.135661E+01   0.135661E+01
   0.375000E+00   0.136049E+01   0.692500E-01   0.133408E+01   0.133408E+01
   0.380000E+00   0.136715E+01   0.664400E-01   0.130922E+01   0.130922E+01
   0.385000E+00   0.132474E+01   0.688600E-01   0.128231E+01   0.128231E+01
   0.390000E+00   0.128524E+01   0.643600E-01   0.125367E+01   0.125367E+01
   0.395000E+00   0.120981E+01   0.776200E-01   0.122359E+01   0.122359E+01
   0.400000E+00   0.118463E+01   0.157080E+00   0.119238E+01   0.119238E+01
   0.405000E+00   0.116868E+01   0.703500E-01   0.116037E+01   0.116037E+01
   0.410000E+00   0.113333E+01   0.610900E-01   0.112787E+01   0.112787E+01
   0.415000E+00   0.110731E+01   0.155530E+00   0.109519E+01   0.109519E+01
   0.420000E+00   0.105523E+01   0.928500E-01   0.106264E+01   0.106264E+01
   0.425000E+00   0.103993E+01   0.639400E-01   0.103051E+01   0.103051E+01
   0.430000E+00   0.996420E+00   0.850400E-01   0.999081E+00   0.999081E+00
   0.435000E+00   0.949520E+00   0.893500E-01   0.968613E+00   0.968613E+00
   0.440000E+00   0.927840E+00   0.123420E+00   0.939338E+00   0.939338E+00
   0.445000E+00   0.881500E+00   0.127740E+00   0.911488E+00   0.911488E+00
   0.450000E+00   0.869570E+00   0.914400E-01   0.885253E+00   0.885253E+00
   0.455000E+00   0.814420E+00   0.661100E-01   0.860846E+00   0.860846E+00
   0.460000E+00   0.813290E+00   0.769300E-01   0.838266E+00   0.838266E+00
   0.465000E+00   0.805050E+00   0.112700E+00   0.817766E+00   0.817766E+00
   0.470000E+00   0.795120E+00   0.884600E-01   0.799381E+00   0.799381E+00
   0.475000E+00   0.758350E+00   0.935600E-01   0.783162E+00   0.783162E+00
   0.480000E+00   0.764090E+00   0.648100E-01   0.769134E+00   0.769134E+00
   0.485000E+00   0.737700E+00   0.774900E-01   0.757291E+00   0.757291E+00
   0.490000E+00   0.711370E+00   0.864600E-01   0.747605E+00   0.747605E+00
   0.495000E+00   0.732440E+00   0.635800E-01   0.740018E+00   0.740018E+00
   0.501250E+00   0.733040E+00   0.570350E+00   0.733364E+00   0.733364E+00
   0.510000E+00   0.706820E+00   0.511900E-01   0.728962E+00   0.728962E+00
   0.520000E+00   0.711330E+00   0.461000E-01   0.730121E+00   0.730121E+00
   0.530000E+00   0.721090E+00   0.583200E-01   0.736685E+00   0.736685E+00
   0.540000E+00   0.745040E+00   0.552800E-01   0.747296E+00   0.747296E+00
   0.550000E+00   0.758490E+00   0.595300E-01   0.760471E+00   0.760471E+00
   0.560000E+00   0.756400E+00   0.786100E-01   0.774766E+00   0.774766E+00
   0.570000E+00   0.787910E+00   0.721600E-01   0.788784E+00   0.788784E+00
   0.580000E+00   0.810390E+00   0.710600E-01   0.801243E+00   0.801243E+00
   0.590000E+00   0.836070E+00   0.649000E-01   0.811019E+00   0.811019E+00
   0.600000E+00   0.822400E+00   0.566400E-01   0.817183E+00   0.817183E+00
   0.610000E+00   0.833440E+00   0.486400E-01   0.819032E+00   0.819032E+00
   0.620000E+00   0.823450E+00   0.847600E-01   0.816100E+00   0.816100E+00
   0.630000E+00   0.833710E+00   0.780300E-01   0.808180E+00   0.808180E+00
   0.640000E+00   0.848130E+00   0.549200E-01   0.795313E+00   0.795313E+00
   0.650000E+00   0.833870E+00   0.514000E-01   0.777782E+00   0.777782E+00
   0.660000E+00   0.791020E+00   0.759400E-01   0.756083E+00   0.756083E+00
   0.670000E+00   0.805270E+00   0.788000E-01   0.730889E+00   0.730889E+00
   0.680000E+00   0.747750E+00   0.132700E+00   0.703020E+00   0.703020E+00
   0.690000E+00   0.686590E+00   0.531700E-01   0.673314E+00   0.673314E+00
   0.700000E+00   0.659680E+00   0.514300E-01   0.642716E+00   0.642716E+00
   0.710000E+00   0.603700E+00   0.573300E-01   0.612077E+00   0.612077E+00
   0.720000E+00   0.548480E+00   0.760100E-01   0.582184E+00   0.582184E+00
   0.730000E+00   0.537850E+00   0.446900E-01   0.553684E+00   0.553684E+00
   0.740000E+00   0.498880E+00   0.442400E+00   0.527092E+00   0.527092E+00
   0.750000E+00   0.509960E+00   0.529600E-01   0.502748E+00   0.502748E+00
   0.760000E+00   0.460750E+00   0.627100E-01   0.480833E+00   0.480833E+00
   0.770000E+00   0.416020E+00   0.116570E+00   0.461383E+00   0.461383E+00
   0.780000E+00   0.426770E+00   0.563600E-01   0.444310E+00   0.444310E+00
   0.790000E+00   0.441550E+00   0.603800E-01   0.429438E+00   0.429438E+00
   0.800000E+00   0.378950E+00   0.590300E-01   0.416536E+00   0.416536E+00
   0.810000E+00   0.367660E+00   0.651700E-01   0.405346E+00   0.405346E+00
   0.820000E+00   0.393820E+00   0.589600E-01   0.395617E+00   0.395617E+00
   0.830000E+00   0.351860E+00   0.597600E-01   0.387121E+00   0.387121E+00
   0.840000E+00   0.332220E+00   0.539200E-01   0.379668E+00   0.379668E+00
   0.850000E+00   0.383830E+00   0.650600E-01   0.373112E+00   0.373112E+00
   0.860000E+00   0.341160E+00   0.672100E-01   0.367344E+00   0.367344E+00
   0.870000E+00   0.360740E+00   0.578600E-01   0.362294E+00   0.362294E+00
   0.880000E+00   0.360460E+00   0.510400E-01   0.357906E+00   0.357906E+00
   0.890000E+00   0.345500E+00   0.635600E-01   0.354147E+00   0.354147E+00
   0.900000E+00   0.371930E+00   0.577400E-01   0.350984E+00   0.350984E+00
   0.910000E+00   0.360580E+00   0.559300E-01   0.348380E+00   0.348380E+00
   0.920000E+00   0.311320E+00   0.767000E-01   0.346281E+00   0.346281E+00
   0.930000E+00   0.287540E+00   0.517200E-01   0.344640E+00   0.344640E+00
   0.940000E+00   0.316160E+00   0.631300E-01   0.343391E+00   0.343391E+00
   0.950000E+00   0.323630E+00   0.185440E+00   0.342472E+00   0.342472E+00
   0.960000E+00   0.334240E+00   0.560400E-01   0.341821E+00   0.341821E+00
   0.970000E+00   0.323430E+00   0.499600E-01   0.341388E+00   0.341388E+00
   0.980000E+00   0.352240E+00   0.695200E-01   0.341134E+00   0.341134E+00
   0.990000E+00   0.363170E+00   0.737000E-01   0.341041E+00   0.341041E+00
   0.100500E+01   0.344750E+00   0.544400E-01   0.341198E+00   0.341198E+00
   0.103000E+01   0.318980E+00   0.457800E-01   0.342440E+00   0.342440E+00
   0.106000E+01   0.342690E+00   0.488000E-01   0.346306E+00   0.346306E+00
   0.109000E+01   0.312770E+00   0.532800E-01   0.353574E+00   0.353574E+00
   0.112000E+01   0.346940E+00   0.842800E-01   0.364125E+00   0.364125E+00
   0.115000E+01   0.342470E+00   0.743500E-01   0.376742E+00   0.376742E+00
   0.118000E+01   0.364310E+00   0.951200E-01   0.389813E+00   0.389813E+00
   0.121000E+01   0.395610E+00   0.794400E-01   0.402182E+00   0.402182E+00
   0.124000E+01   0.416880E+00   0.832700E-01   0.413379E+00   0.413379E+00
   0.127000E+01   0.466960E+00   0.189320E+00   0.423111E+00   0.423111E+00
   0.130000E+01   0.507840E+00   0.965100E-01   0.430699E+00   0.430699E+00
   0.133000E+01   0.554870E+00   0.997200E-01   0.435124E+00   0.435124E+00
