q,i_of_q
0.241927710843,0.0555140107079
0.243313253012,0.0560038983094
0.244698795181,0.0565727059811
0.246084337349,0.0571916017723
0.247469879518,0.0578320934338
0.248855421687,0.0584667567017
0.250240963855,0.0590698983555
0.251626506024,0.0596181403222
0.253012048193,0.0600909137657
0.254397590361,0.0604708549142
0.25578313253,0.0607440972692
0.257168674699,0.0609004577354
0.258554216867,0.0609335170289
0.259939759036,0.0608405974082
0.261325301205,0.0606226432565
0.262710843373,0.0602840122777
0.264096385542,0.0598321870018
0.265481927711,0.0592774179008
0.26686746988,0.0586323106574
0.268253012048,0.0579113709988
0.269638554217,0.0571305209929
0.271024096386,0.0563066008173
0.272409638554,0.0554568697555
0.273795180723,0.0545985195788
0.275180722892,0.0537482125656
0.27656626506,0.0529216552212
0.277951807229,0.0521332173449
0.279337349398,0.0513956044775
0.280722891566,0.0507195900185
0.282108433735,0.050113811459
0.283493975904,0.0495846333031
0.284879518072,0.0491360773826
0.286265060241,0.0487698194639
0.28765060241,0.048485249342
0.289036144578,0.0482795900544
0.290421686747,0.0481480704665
0.291807228916,0.0480841443008
0.293192771084,0.0480797477352
0.294578313253,0.048125586991
0.295963855422,0.0482114468835
0.29734939759,0.0483265111086
0.298734939759,0.0484596850988
0.300120481928,0.0485999125755
0.301506024096,0.0487364774425
0.302891566265,0.0488592833854
0.304277108434,0.048959104438
0.305662650602,0.0490278008121
0.307048192771,0.0490584954432
0.30843373494,0.0490457079311
0.309819277108,0.0489854438308
0.311204819277,0.048875238527
0.312590361446,0.0487141561837
0.313975903614,0.0485027454572
0.315361445783,0.0482429547696
0.316746987952,0.0479380109387
0.31813253012,0.0475922658209
0.319518072289,0.0472110163281
0.320903614458,0.0468003037234
0.322289156627,0.0463666984604
0.323674698795,0.0459170770185
0.325060240964,0.0454583971909
0.326445783133,0.0449974781142
0.327831325301,0.0445407910035
0.32921686747,0.0440942660725
0.330602409639,0.0436631205151
0.331987951807,0.0432517117011
0.333373493976,0.0428634189316
0.334759036145,0.0425005562267
0.336144578313,0.0421643177063
0.337530120482,0.0418547561993
0.338915662651,0.0415707948023
0.340301204819,0.0413102702278
0.341686746988,0.0410700059599
0.343072289157,0.0408459124916
0.344457831325,0.0406331112615
0.345843373494,0.0404260783707
0.347228915663,0.0402188037335
0.348614457831,0.0400049610222
0.35,0.0397780836015
